Layer,Name,GEOID,Population,Longitude,Latitude,MCD_2020-2024,MCD_2020-2024_se,EMP_2020-2024,EMP_2020-2024_se,EKW_2024,EKW_2024_se,RITB_2022,RITB_2022_se,EKR_2024,EKR_2024_se,ADI_2023,ADI_2023_se,HDX_2020-2024,HDX_2020-2024_se,INC_2020-2024,INC_2020-2024_se,PCI_2020-2024,PCI_2020-2024_se,POV_2020-2024,POV_2020-2024_se,SLA-S_2020-2024,SLA-S_2020-2024_se
Census tract,Tract 1003,17031100300,6252,-87.80425970,41.98873300,11.426747526332589,3.542514289820445,66.51771465049472,3.9295709916592103,14.1,,3.0,,72.08,,30.0,,41.89834415278954,,95441.0,14407.294832826748,50460.0,4136.77811550152,8.26683689754229,4.083120856443704,38.38533927686974,5.042200219529467
Census tract,Tract 1004,17031100400,3207,-87.81804110,41.98896870,4.328358208955224,1.5816814714734704,77.01492537313432,5.677749721820139,13.72,,23.0,,72.08,,28.0,,16.945385266723115,,142123.0,11066.869300911854,59883.0,5127.051671732523,2.149253731343284,0.847271988585487,24.95697074010327,6.252361542860528
Census tract,Tract 1005,17031100500,6116,-87.81973140,41.97804530,3.931451612903226,1.5491974115337777,77.38575268817203,7.53908693370598,14.89,,14.046122094429485,,72.08,,34.0,,9.791607865,,128688.0,11737.386018237083,68694.0,7810.942249240122,1.1256720430107527,0.5460048095086658,42.11932324131789,15.627407123316582
Census tract,Tract 1006,17031100600,4897,-87.79740070,41.97920490,9.092800665834371,1.7408381262122818,70.37037037037037,2.955767787409424,16.12,,25.0,,72.08,,37.25,,43.16022203405777,,78689.0,7715.501519756839,41214.0,3772.036474164134,7.969205160216395,3.2127795337375358,39.55119214586255,8.632814326167251
Census tract,Tract 1007,17031100700,4967,-87.79762950,41.97212350,12.089971883786315,3.616340390614601,70.77788191190253,3.3499071528402276,13.73,,29.0,,72.08,,29.6,,53.32345469940728,,134767.0,12622.492401215806,48294.0,3291.793313069909,6.579194001874414,3.5293508101369433,20.32967032967033,3.525181119183077
Census tract,Tract 1101,17031110100,5568,-87.76967290,41.98747560,9.831512682836513,4.265370359846139,68.50583225328643,6.363441051292,16.07,,21.0,,72.08,,31.0,,34.31649261454511,,97743.0,13714.893617021276,49168.0,4104.559270516717,7.26695311040538,3.8030025284086024,15.811518324607327,7.733970088243941
Census tract,Tract 1102,17031110200,2772,-87.77344420,41.98006990,14.245907349355624,4.5841376322841985,60.81504702194357,4.471414656997693,17.67,,13.0,,72.08,,43.5,,62.98922758490921,,76563.0,20641.337386018236,43226.0,4511.854103343465,8.403361344537815,2.407590004240021,53.8878842676311,13.737063113748201
Census tract,Tract 1103,17031110300,5348,-87.78323490,41.97529070,4.919930542157052,2.076136383250049,75.61257958711171,7.069947048566426,15.2,,24.000000000000004,,72.08,,31.8,,32.50305767240568,,119750.0,16375.683890577508,45408.0,3466.2613981762916,2.5081998842369284,0.8865079535102838,18.15068493150685,4.065831442620125
Census tract,Tract 1104,17031110400,4522,-87.77261140,41.97295360,7.728638900815802,2.0424565163218658,69.7080291970803,5.945848960573087,15.89,,33.0,,72.08,,37.333333333333336,,13.20561670900367,,92315.0,8458.358662613982,57810.0,3793.3130699088147,2.884201463624623,0.9504261940818478,36.318407960199,9.548948133120106
Census tract,Tract 1105.01,17031110501,4786,-87.76192490,41.97700230,15.692921236291127,3.6531540867984535,62.632103688933206,5.059788703752715,15.17,,40.0,,72.08,,32.75,,14.853231724527236,,105568.0,10076.595744680852,48887.0,3117.933130699088,4.951884522854852,1.6836268987919438,28.57142857142857,8.468170125907772
Census tract,Tract 1105.02,17031110502,3220,-87.75985230,41.97028650,19.522591645353792,4.454471781991938,59.647627166808746,6.147577762045596,17.92,,53.0,,72.08,,52.0,,43.654153730360335,,71992.0,18041.9452887538,52818.0,7238.905775075988,10.088093208297812,2.8540294772841364,52.70506108202443,16.340979110850974
Census tract,Tract 1201,17031120100,4402,-87.77500650,42.00198170,3.1820308844174074,0.9361483220719676,73.72484791764155,3.072433415550041,15.08,,2.9999999999999996,,72.08,,15.25,,19.68435412550569,,163007.0,15355.623100303952,72249.0,7950.759878419452,2.5140977443609023,0.9667214013525445,12.854251012145747,3.2257679290340926
Census tract,Tract 1202,17031120200,4748,-87.75761080,41.99453190,7.565217391304348,2.36721947126255,69.58695652173913,5.513027256832866,15.75,,5.0,,72.08,,14.25,,14.623906294101044,,141458.0,24015.80547112462,65305.0,3800.607902735562,4.043478260869565,2.0845142444779308,35.53191489361702,6.9542980683504245
Census tract,Tract 1203,17031120300,6920,-87.74006600,41.99111220,8.688196627607887,3.993983007524929,65.61874821377536,4.86174034478884,14.64,,4.0,,57.46,,20.166666666666668,,7.330181578699784,,139338.0,17490.577507598784,86015.0,12495.440729483282,5.115747356387539,2.5863800851738987,31.239669421487605,8.263615333192051
Census tract,Tract 1204,17031120400,3526,-87.75216240,41.97723540,14.729458917835672,4.170141409984025,58.64228456913828,4.710416512219666,15.28,,28.0,,72.08,,29.333333333333332,,29.418336626211307,,108145.0,10882.674772036475,47856.0,5834.650455927052,7.690380761523046,3.6776821969809226,24.149659863945576,8.605085801605702
Census tract,Tract 1301,17031130100,5205,-87.72080890,41.99110400,41.61383285302594,9.710341740918933,40.78770413064361,7.010327440756129,14.61,,47.0,,22.71,,37.333333333333336,,81.70923887477656,,34565.0,18304.55927051672,30026.0,3514.285714285714,20.416827479737552,7.399257374350666,37.00488334237656,6.017888608338549
Census tract,Tract 1302,17031130200,1403,-87.73757330,41.98183780,8.321377331420372,3.143946136972105,63.773314203730266,9.932859386218352,15.0,,13.0,,57.63,,36.0,,25.055273308871957,,120625.0,37882.066869300914,68142.0,12039.51367781155,15.208034433285508,7.70184822479181,40.963855421686745,7.700716792505113
Census tract,Tract 1303,17031130300,5083,-87.71339150,41.98655890,19.336569579288028,3.743881437753181,48.68527508090615,3.508442615609884,15.17,,57.0,,22.71,,30.25,,56.91151566469094,,67833.0,4328.267477203647,36259.0,2373.252279635258,10.760517799352751,1.6953791812041583,26.28951747088186,5.839126694107085
Census tract,Tract 1401,17031140100,3464,-87.70580500,41.97120140,30.66481994459834,5.284039829776035,39.03047091412743,5.24584898460147,13.42,,68.0,,67.72,,31.5,,42.53692727443786,,78686.0,15586.018237082068,33070.0,3426.139817629179,6.537396121883657,2.587695367142947,13.934426229508196,6.812250030017468
Census tract,Tract 1402,17031140200,5834,-87.71300430,41.97069490,25.00424088210348,4.276160526329939,51.433418150975406,5.7812749890225,15.5,,64.0,,37.86,,51.0,,76.00785587,,75067.0,7854.103343465045,31486.0,2871.7325227963524,15.150913423351868,4.265209283745032,23.909531502423263,6.612450230807113
Census tract,Tract 1403.01,17031140301,2693,-87.72316950,41.96920550,31.8232044198895,4.863927288003666,40.40515653775322,6.732418728707731,15.92,,56.0,,47.47,,38.5,,88.83361558001694,,75616.0,4609.118541033435,28398.0,3342.2492401215804,24.016332590942834,7.439058538012956,14.84375,8.074907670389255
Census tract,Tract 1403.02,17031140302,4060,-87.72375610,41.97249380,12.173629242819842,2.8602291527981936,65.17624020887729,6.066051123522583,13.72,,62.0,,42.31,,46.333333333333336,,57.33723774578982,,97574.0,15368.996960486322,48321.0,4024.9240121580547,6.233681462140992,2.1138760468555216,9.17573872472784,5.074970467599517
Census tract,Tract 1404,17031140400,6503,-87.73894290,41.97153710,20.82051282051282,5.70159879630176,53.72649572649573,4.3943581356396955,13.73,,58.0,,72.06,,29.8,,46.38253833850786,,110306.0,18472.340425531915,50439.0,6102.127659574468,12.102564102564102,5.704645300937974,15.153846153846152,4.653693558460476
Census tract,Tract 1405,17031140500,3451,-87.73183190,41.96536190,22.50377073906486,5.101764590849756,44.4947209653092,4.710523333375235,16.61,,50.0,,72.08,,36.666666666666664,,43.327217988521966,,73889.0,19287.53799392097,45611.0,6321.580547112462,5.748175182481752,2.5041438344588247,31.51969981238274,9.852633922514332
Census tract,Tract 1406.01,17031140601,2545,-87.72589090,41.96464710,23.78444084278768,3.8035455763215404,42.3419773095624,4.480807672559017,14.5,,76.0,,70.74,,36.0,,76.91222128139994,,85375.0,13622.492401215804,40447.0,5298.480243161094,10.417511147142278,3.159955112033337,31.02493074792244,6.266321312299542
Census tract,Tract 1406.02,17031140602,5041,-87.72101660,41.96465200,24.174780337212063,6.308071177768175,33.958679648539544,3.326751348733309,13.5,,72.0,,68.29,,43.5,,76.70524038,,62033.0,7921.580547112462,32627.0,3305.1671732522796,23.27194451088256,5.981012911045423,32.732732732732735,12.613413055567941
Census tract,Tract 1407.01,17031140701,2784,-87.71265240,41.96703750,24.738675958188157,6.090085726470189,43.62369337979094,2.587615158790974,16.17,,50.0,,66.89,,36.0,,68.00498635807696,,97500.0,15405.47112462006,37719.0,2884.498480243161,15.191637630662022,6.4752164986653735,20.614035087719294,13.200917704838222
Census tract,Tract 1407.02,17031140702,5535,-87.71357530,41.96354820,24.04296875,4.531708292422426,40.3515625,4.733214243672882,14.29,,64.0,,72.08,,35.25,,52.80482641828959,,76392.0,14922.188449848025,49692.0,7376.29179331307,6.26953125,2.3099901248840387,20.51671732522796,5.670135805120449
Census tract,Tract 1408,17031140800,6486,-87.70284690,41.96451440,8.592167454422688,2.2202289642888307,56.88723835246455,3.5403410003920492,15.57,,51.0,,71.63,,19.2,,32.25961990779942,,108958.0,18075.987841945287,60475.0,4090.577507598784,9.166103983794734,3.1879698015959113,35.13513513513514,7.26087013191751
Census tract,Tract 1502,17031150200,7434,-87.75241310,41.96067470,11.301647312989468,2.91407687366964,58.06103159600325,6.648156314244838,15.8,,55.0,,72.08,,33.4,,31.91269169253928,,105145.0,12334.954407294832,50271.0,3832.826747720365,9.343775317310287,2.9719051288034035,25.753424657534246,4.912291773824844
Census tract,Tract 1503,17031150300,7120,-87.76228590,41.96051790,20.87743732590529,4.879533163428309,58.38440111420613,3.783299258198708,15.4,,42.0,,69.46,,40.142857142857146,,24.097986640323644,,89097.0,9588.449848024316,55673.0,5635.866261398176,7.36575766095024,3.004930137494886,26.16071428571429,6.415513309858755
Census tract,Tract 1504.01,17031150401,4681,-87.77226480,41.96456760,24.33145009416196,7.215239666350382,51.37476459510359,2.4378661686064125,16.08,,42.0,,72.08,,39.75,,72.25750305767241,,86563.0,11200.0,36336.0,4317.933130699088,18.342749529190208,7.290211067636827,17.119244391971662,3.570143580759634
Census tract,Tract 1504.02,17031150402,3831,-87.77204360,41.95679790,17.435635992862604,4.470424702041032,67.6777976038746,4.03198070962205,15.83,,32.0,,54.33,,33.666666666666664,,31.336438046852948,,103939.0,11859.574468085106,42414.0,3053.495440729483,5.862860056079531,2.457705629421683,15.703971119133575,6.293382571513612
Census tract,Tract 1505.01,17031150501,3823,-87.78196390,41.96447620,13.545108005082591,3.96394093936669,72.52858958068616,5.59704330261343,12.44,,28.0,,61.37,,33.333333333333336,,40.051980430896606,,126471.0,15269.300911854103,52414.0,5718.541033434651,6.099110546378653,1.5391722347761563,30.74829931972789,7.552161101963433
Census tract,Tract 1505.02,17031150502,4239,-87.78184140,41.95677840,25.964125560538115,5.681118575062614,42.46636771300448,6.403983713578162,15.39,,63.0,,43.28,,39.333333333333336,,54.03024743625929,,79659.0,13703.951367781156,35627.0,3717.933130699088,9.2152466367713,3.330757096781574,16.644295302013422,10.580112203743996
Census tract,Tract 1506,17031150600,3882,-87.77175780,41.94947310,20.812685827552038,6.311088240989186,69.52428146679881,5.655605963030466,13.96,,55.0,,22.71,,33.0,,28.536315739956724,,102399.0,6496.656534954407,50935.0,6209.726443768997,10.232903865213082,5.063820881797291,21.7948717948718,6.447512075975417
Census tract,Tract 1507,17031150700,4429,-87.76195800,41.94959150,29.450830140485312,9.314755187212915,50.60025542784163,9.070802160717784,15.21,,43.0,,58.37,,35.0,,39.59332957004422,,132361.0,27294.224924012156,46735.0,5452.887537993921,6.510416666666667,2.5846247448331865,15.831663326653306,4.78990325013272
Census tract,Tract 1508,17031150800,4903,-87.75211820,41.94970860,14.25193465176268,3.3683989911466643,52.38607050730868,3.623870478961632,13.27,,52.0,,72.08,,41.8,,65.49299087,,92443.0,14207.294832826748,40607.0,3305.1671732522796,8.426483233018056,2.864909621749952,31.66953528399312,9.127976916480137
Census tract,Tract 1510.01,17031151001,2833,-87.75435270,41.94238260,25.68807339449541,4.4446760636797364,52.86697247706422,4.957060566200521,12.0,,82.0,,72.08,,35.5,,67.69098692257033,,94435.0,6512.462006079028,34211.0,3175.0759878419453,13.799768071124854,4.325084585299237,11.555555555555555,4.663527008173216
Census tract,Tract 1510.02,17031151002,4588,-87.74715540,41.94249170,30.717639168343396,5.087836110269009,44.62329532752068,3.644730756199879,14.62,,48.0,,72.08,,41.5,,64.52276789914386,,75875.0,10426.139817629179,35651.0,4804.255319148936,17.90744466800805,4.717525455923098,46.76056338028169,12.655929224466146
Census tract,Tract 1511,17031151100,5140,-87.76171750,41.94229030,28.16198224852071,4.122887964863048,41.47559171597633,5.233122165159679,16.0,,77.0,,57.44,,40.75,,80.34975068209616,,62717.0,19834.65045592705,32257.0,2558.662613981763,17.33382982684789,4.735807671834361,36.23395149786021,8.075873059335322
Census tract,Tract 1512,17031151200,3880,-87.77149530,41.94216900,21.341463414634145,3.7180096781460237,46.80603948896632,3.159708383047765,14.89,,62.0,,43.32,,39.0,,33.036974315551795,,69776.0,16845.59270516717,32208.0,2708.206686930091,8.752927400468383,2.773961970507642,15.803814713896458,4.553651970573936
Census tract,Tract 1601,17031160100,2444,-87.74279560,41.96462820,16.48814078041316,6.137729165437152,62.62433052792655,6.842081643485326,16.08,,42.0,,72.08,,34.0,,16.663138583121647,,111250.0,15210.94224924012,51086.0,6894.224924012158,4.705432287681713,1.6405558665232012,10.38647342995169,3.909352764038704
Census tract,Tract 1602,17031160200,3278,-87.73839810,41.95879310,12.47376311844078,4.841837424948371,71.48425787106447,4.708077355803034,13.88,,37.0,,72.08,,18.0,,5.145121836485088,,132599.0,11314.285714285714,77861.0,10410.94224924012,8.63568215892054,4.791644255959598,10.505050505050503,5.686565306211042
Census tract,Tract 1603,17031160300,3769,-87.73089580,41.95726810,15.772960638904737,4.092932981678873,67.45579007415859,3.994202002770639,13.72,,54.0,,72.08,,58.333333333333336,,48.41941857183178,,68887.0,9167.781155015198,53476.0,4820.060790273556,15.20250998288648,3.0620902682804148,29.743589743589745,6.902600153911329
Census tract,Tract 1604,17031160400,4854,-87.72282380,41.95736570,18.822661007565973,4.847015714876439,64.18158331795534,1.620582485473684,15.11,,49.0,,72.08,,23.333333333333332,,37.31301157211403,,81375.0,7233.434650455927,63382.0,17053.495440729483,18.213692563203544,7.792328155811331,35.46099290780142,9.859078358730232
Census tract,Tract 1605.01,17031160501,3703,-87.71297320,41.95920980,20.204313280363223,2.428734455885876,46.59477866061294,4.353284324127261,13.5,,62.0,,72.08,,40.0,,72.20575783234547,,80179.0,13530.699088145897,43237.0,4451.063829787234,8.711691259931897,3.0523502064080024,14.888337468982629,9.725423317938024
Census tract,Tract 1605.02,17031160502,3300,-87.71308760,41.95558410,11.663118050626922,2.67833651887818,59.64040690797256,8.56150667231511,14.89,,52.0,,72.08,,34.333333333333336,,59.973892181766864,,114719.0,7406.686930091185,49371.0,6389.665653495441,9.145898862811515,2.5422719762683825,10.408163265306122,4.657980021470516
Census tract,Tract 1606.01,17031160601,3380,-87.70329360,41.95939800,15.939652345031158,6.047136277946572,66.18563463430634,8.167442524644068,15.61,,53.0,,72.08,,42.0,,20.272368049675418,,75536.0,5562.310030395137,51795.0,4460.182370820668,4.296490652673008,1.5663639250387453,91.56118143459916,14.004655673841315
Census tract,Tract 1606.02,17031160602,3481,-87.70046350,41.95668140,10.59098888238736,3.3950521497724315,71.44528964306612,5.39047110636053,14.75,,51.0,,72.08,,34.333333333333336,,11.75204628845611,,99531.0,11920.9726443769,68652.0,10288.145896656535,13.107080163838503,3.539068114171939,23.705722070844686,13.878113442440135
Census tract,Tract 1607,17031160700,5766,-87.70213470,41.95121770,16.982088543426833,4.17448028945329,63.88982764447449,5.624567658009872,15.33,,23.0,,71.95,,21.4,,56.33173393545959,,93750.0,29554.407294832825,52398.0,6086.930091185411,8.262926664413653,2.4976159593661578,24.540441176470587,6.137427908008721
Census tract,Tract 1608,17031160800,4997,-87.71281460,41.95021310,10.647851186658114,1.9815062260878888,61.42826598246739,9.76643324637183,16.13,,47.0,,72.08,,26.0,,60.65128422241039,,87676.0,10601.215805471125,46826.0,6983.586626139818,5.672993960310613,1.9110643753568455,29.0,7.386153325343491
Census tract,Tract 1609,17031160900,2410,-87.72260820,41.95008210,18.229166666666664,5.818938443187683,62.29967948717948,2.9228271086456123,15.92,,45.0,,72.08,,23.5,,18.94345658105184,,109598.0,23758.0547112462,54962.0,5012.158054711246,5.958132045088567,1.9623702788781976,28.14814814814815,10.425548872178176
Census tract,Tract 1610,17031161000,1899,-87.73068290,41.94997660,8.689320388349515,3.87775157999054,64.85436893203882,5.569687235754786,16.5,,33.0,,72.08,,12.5,,17.613369084579922,,109524.0,13933.738601823708,68347.0,4752.58358662614,8.450704225352112,4.603563069614989,10.472972972972974,3.8627180943841237
Census tract,Tract 1611,17031161100,1940,-87.73815500,41.94988000,7.149666348903717,4.144676107180193,80.21925643469972,3.1766759779244187,14.85,,18.002750264842327,,72.08,,13.5,,8.329805249788315,,149722.0,28228.571428571428,81810.0,8974.468085106382,6.465517241379311,4.228361554498402,22.75862068965517,8.809602301499442
Census tract,Tract 1612,17031161200,2820,-87.73857010,41.94254890,23.651744800845965,4.489244673426053,58.90024673951358,5.742092149579062,15.5,,54.0,,72.08,,33.5,,73.35591306802145,,80132.0,22008.510638297874,42577.0,6469.908814589666,25.237927388086007,6.798820148154364,27.01298701298701,13.81945691903717
Census tract,Tract 1613,17031161300,3899,-87.73100230,41.94269940,22.181818181818183,5.6027472253972155,63.688311688311686,7.372173460040591,16.33,,51.0,,72.08,,41.25,,53.30934236522721,,59353.0,4071.12462006079,38308.0,4547.720364741641,14.909090909090908,3.7065758484041758,21.875,7.864837602930838
Census tract,Tract 1701,17031170100,2034,-87.79481680,41.95585960,12.791299844640085,4.226327283714433,47.90264111859141,7.622149761824597,17.0,,4.0,,22.71,,63.0,,66.91245648696962,,51944.0,24040.12158054711,41258.0,5872.340425531915,27.861211807353705,8.671080921483101,43.910614525139664,14.438839294973825
Census tract,Tract 1702,17031170200,3812,-87.78151880,41.94935280,21.33408387278356,6.651795949961056,56.14973262032086,8.911902069836431,14.28,,71.0,,22.71,,42.666666666666664,,41.13627810706557,,110602.0,10941.641337386018,40314.0,4928.267477203647,4.84097945398255,1.781235972424713,28.88888888888889,8.101217736255917
Census tract,Tract 1703,17031170300,5216,-87.79682780,41.94912480,18.96911519198664,2.9548532936451406,59.18196994991652,4.631053279564303,13.8,,65.0,,42.96,,35.4,,40.67997930190987,,82203.0,10708.20668693009,45799.0,3993.920972644377,4.319699499165275,1.4332096445885085,24.503311258278146,3.5753065767458705
Census tract,Tract 1704,17031170400,4141,-87.81271070,41.94890810,16.102110947471772,3.42627881956457,61.97839960726559,5.021434030600197,14.79,,29.0,,22.71,,41.0,,40.18016747,,110800.0,11234.65045592705,48442.0,5514.893617021276,5.269638020192071,2.0243276133983685,23.868954758190327,8.336569857040992
Census tract,Tract 1705,17031170500,5316,-87.82889570,41.95007790,11.900387834251887,4.71622995666954,69.66727903653806,6.017072466018091,13.12,,59.0,,45.16,,39.75,,27.00395145357042,,85250.0,22125.227963525835,46947.0,3372.036474164134,1.9595835884874464,1.4123081785961782,43.240093240093245,9.884055044011578
Census tract,Tract 1706,17031170600,2551,-87.83070160,41.94129430,15.079999999999998,2.858911047398664,56.6,4.714479772034334,13.25,,54.0,,68.67,,42.0,,60.62893969329193,,81004.0,5575.075987841945,42681.0,6920.9726443769,13.36,3.025127531554016,22.876949740034664,4.077984486498799
Census tract,Tract 1707,17031170700,3068,-87.82216400,41.94148660,9.90069214565152,2.924538591882237,69.63587120072225,7.410514355884041,13.72,,44.0,,60.94,,41.333333333333336,,49.862404741744285,,90611.0,9812.158054711246,33767.0,2966.565349544073,3.370448390009028,1.2859850687522025,27.936507936507937,4.5100112437532
Census tract,Tract 1708,17031170800,3799,-87.81237130,41.94157610,17.207712960702953,2.5943223778427673,51.37905784720527,5.110363032600085,14.78,,45.0,,52.67,,47.333333333333336,,59.77043936400414,,80446.0,12688.145896656535,42720.0,3432.218844984802,12.463199214916584,3.366276315904202,21.24492557510149,6.574094024075504
Census tract,Tract 1709,17031170900,1662,-87.81160570,41.93619580,15.426105717367852,3.0327203095647706,44.7680690399137,7.865212699303472,16.33,,47.0,,72.08,,50.0,,86.61445103,,64202.0,11129.483282674772,41054.0,11256.534954407294,25.24271844660194,14.493474951594889,31.77570093457944,11.395300028968459
Census tract,Tract 1710,17031171000,7313,-87.79652380,41.94180720,19.32664292651344,5.875570474143203,57.607640012949176,7.549362421640423,15.11,,47.0,,63.66,,38.5,,33.98132467776837,,86597.0,8820.060790273556,46073.0,4177.507598784195,10.31078018776303,4.025561358248562,24.920127795527154,6.7182345800655545
Census tract,Tract 1711,17031171100,4235,-87.78128650,41.94205280,17.518059855521155,5.493786870092092,66.74406604747162,4.907103819536292,14.44,,50.0,,59.75,,39.333333333333336,,68.78234076582933,,95781.0,13878.419452887538,36371.0,4182.978723404255,11.609907120743031,3.260607919136562,17.53048780487805,7.475042947102206
Census tract,Tract 1801,17031180100,6656,-87.79863170,41.93448510,19.847108034040097,5.123066682330382,57.14697822010674,3.8468051918829693,15.1,,79.0,,72.08,,40.8,,60.949995295888606,,86632.0,14548.328267477204,35158.0,3572.036474164134,14.48455850369726,4.871183412888118,18.31971995332556,8.207820954397281
Census tract,Tract 1901,17031190100,2325,-87.74438890,41.93521760,29.30251754023937,6.505836043922423,47.25546842756913,9.460233733219734,12.0,,87.0,,72.08,,45.0,,81.23765170759243,,56713.0,5093.009118541034,28979.0,2471.12462006079,7.09863805200165,2.1507153808169206,34.92537313432836,11.443731954609023
Census tract,Tract 1902,17031190200,5652,-87.75164890,41.93511360,31.338883107873745,6.5486783324943385,39.10856746444676,3.770441704989075,14.12,,71.0,,72.08,,37.75,,77.72485652,,80380.0,6701.519756838906,28821.0,2615.197568389058,14.058073654390936,5.640719576430519,25.695581014729957,8.59365279418589
Census tract,Tract 1903,17031190300,5738,-87.76146350,41.93498640,30.18505586592179,4.57422600328481,45.827513966480446,3.690144674693818,15.0,,81.0,,55.1,,43.25,,79.85346693,,78750.0,14427.963525835867,30229.0,2213.981762917933,17.562849162011172,5.2088083346192455,24.73684210526316,11.495623912610435
Census tract,Tract 1904.01,17031190401,4325,-87.78095240,41.93472760,23.45006485084306,4.5845233389655995,52.52918287937744,3.7915693922082956,16.33,,63.0,,37.86,,34.0,,59.40587073101891,,115000.0,12740.425531914894,40568.0,5581.155015197568,9.304143862392497,3.964337372808149,10.571428571428571,5.518358777897923
Census tract,Tract 1904.02,17031190402,5294,-87.77123180,41.93485960,31.48471615720524,6.200276191523653,35.327510917030565,4.349486336124518,15.58,,62.99999999999999,,20.39,,50.5,,79.85464295794525,,63140.0,9453.495440729483,30703.0,3115.5015197568387,11.200873362445416,2.376359781980959,32.52240717029449,7.245801352655921
Census tract,Tract 1906.01,17031190601,4382,-87.78046060,41.92741460,25.343189017951424,4.546720286357031,38.91235480464625,6.446098627332079,14.44,,90.0,,37.86,,47.0,,89.37223633,,77316.0,13119.756838905774,26622.0,2698.480243161094,12.283506528110845,5.915501383104469,15.298507462686567,9.528890302202404
Census tract,Tract 1906.02,17031190602,5378,-87.77073710,41.92756040,21.51646760767282,2.9502894759413936,53.492580528411146,8.180503717922438,14.0,,66.0,,37.4,,50.666666666666664,,84.12480007526578,,82232.0,20442.55319148936,23325.0,1981.1550151975684,16.122560641984315,4.756458446730815,31.32992327365729,8.655326906580322
Census tract,Tract 1907.01,17031190701,2972,-87.76142170,41.92979590,35.17138599105812,11.606309005180536,40.57377049180328,7.481483857019879,12.58,,90.0,,65.4,,41.5,,54.40069620848622,,68810.0,15069.300911854103,25382.0,1629.787234042553,5.774962742175857,2.755031965174692,26.198083067092654,8.6402627425424
Census tract,Tract 1907.02,17031190702,4952,-87.76103950,41.92616310,31.30692167577413,4.2678334003745695,41.91712204007285,5.177396918904946,14.06,,85.0,,67.76,,49.0,,95.77453194091636,,62813.0,7327.051671732523,23213.0,2762.917933130699,28.52914389799636,6.2930361505858725,19.201030927835053,8.68219605343381
Census tract,Tract 1908,17031190800,6831,-87.75136240,41.92781860,28.58092389498172,6.624791211580614,38.35161183117315,7.680919517479384,14.23,,85.0,,72.08,,40.2,,84.31884467024179,,52880.0,21981.155015197568,23876.0,2541.641337386018,12.202932749030843,3.176592911496707,20.817843866171003,10.523352073390512
Census tract,Tract 1909,17031190900,1927,-87.74410480,41.92792250,31.463146314631462,12.030646504912415,37.403740374037405,3.1250123613211067,14.5,,68.0,,72.08,,45.0,,71.21083827265029,,77778.0,15184.802431610942,25934.0,4345.896656534955,7.920792079207921,2.609373850735803,39.19597989949749,8.270962358208363
Census tract,Tract 1910,17031191000,2422,-87.74380100,41.91922970,36.93304535637149,5.828607282652499,32.95896328293736,2.054485329140057,16.42,,67.0,,72.08,,54.5,,87.04370119484429,,58182.0,20353.799392097266,21793.0,2118.54103343465,11.616818378846988,3.9027797374132787,28.26086956521739,4.589069110310924
Census tract,Tract 1911,17031191100,7533,-87.75097630,41.91962930,40.754897276636406,7.566041021269437,28.587354674311197,3.132954666313381,15.36,,80.0,,72.08,,46.0,,91.49496660080912,,51958.0,6306.382978723404,22053.0,3028.5714285714284,32.448849104859335,11.564636160692256,10.313315926892953,6.542883664311968
Census tract,Tract 1912,17031191200,3810,-87.76082690,41.92014320,40.92805005213764,9.389484757478069,20.959332638164756,2.395671366715027,16.0,,78.0,,71.38,,57.0,,95.63928873835732,,51449.0,5772.644376899696,18383.0,2803.0395136778116,33.613887427669646,11.329959990144408,22.149122807017545,11.015782975617732
Census tract,Tract 1913.01,17031191301,5214,-87.78026550,41.92015220,26.23558484349259,4.41145947492477,49.42339373970346,6.699718971451937,14.56,,78.0,,69.23,,53.333333333333336,,76.34067174710697,,69783.0,11654.711246200608,27055.0,3433.434650455927,8.257825370675453,2.8115095844850777,10.866752910737388,3.7798315979756483
Census tract,Tract 1913.02,17031191302,4940,-87.77053340,41.92022890,31.156848828956708,4.704350183340916,39.36598060089898,6.126933741718892,15.42,,74.0,,68.59,,56.5,,94.82665349515476,,62146.0,9269.908814589666,21971.0,2096.656534954407,9.865152590489709,3.9731760257493605,12.08576998050682,7.355323810345787
Census tract,Tract 2001,17031200100,4118,-87.73762260,41.93505520,30.51948051948052,5.7148135724441165,48.85114885114885,2.8737032605584014,14.22,,73.99999999999999,,72.08,,43.333333333333336,,85.87120143004987,,81131.0,9133.130699088146,33425.0,3838.905775075988,14.954221770091555,5.7061537999186225,12.557077625570775,6.916666904253963
Census tract,Tract 2002,17031200200,5162,-87.73562820,41.92785230,30.536839817430995,5.202035894120257,32.01477939578353,5.706980305164297,13.92,,75.0,,72.08,,45.75,,76.44651425345752,,69335.0,5052.279635258358,29628.0,2559.8784194528876,13.149315366224734,4.408683126185835,18.99350649350649,7.4993234421714225
Census tract,Tract 2003,17031200300,2015,-87.73412640,41.92348060,24.97308934337998,5.3902306195156395,44.34876210979548,7.812201784701304,14.17,,72.0,,71.28,,53.0,,81.01773449995295,,48977.0,15172.644376899696,25030.0,2548.3282674772036,29.978471474703984,7.3960226597219885,25.925925925925924,9.980614644848922
Census tract,Tract 2004.01,17031200401,3743,-87.73754190,41.91982850,34.752,7.177228702289931,43.84,4.944635752160341,13.25,,79.0,,72.08,,46.0,,88.12211873177156,,69046.0,12021.884498480244,29144.0,3335.562310030395,14.63963963963964,5.216004170175408,1.9704433497536944,2.599929074762461
